variant,event_index,time_us,REQ_phase,REQ_accept_phase
R3-E3,84,40.1370000000001,3,3
R3-E3,85,40.6180000000001,4,4
R3-E3,86,41.099000000007,1,1
R3-E3,87,41.580000000007,2,2
R3-E3,88,42.061000000007,3,3
R3-E3,89,42.542000000007,4,4
R3-E3,90,43.0230000000069,1,1
R3-E3,91,43.5040000000001,2,2
R3-E3,92,43.9850000000001,3,3
R3-E3,93,44.466000000007,4,4
R3-E3,94,44.947000000007,1,1
R3-E3,95,45.428000000007,2,2
R3-E3,96,45.9090000000069,3,3
R3-E3,97,46.3900000000069,4,4
R3-E3,98,46.8710000000001,1,1
R3-E3,99,47.3520000000001,2,2
R3-E3,100,47.833000000007,3,3
R3-E3,101,48.314000000007,4,4
R3-E3,102,48.795000000007,1,1
R3-E3,103,49.2760000000069,2,2
R3-E3,104,49.7570000000069,3,3
R3-E3,105,50.2380000000001,4,4
R3-E3,106,50.7190000000001,1,1
R3-E3,107,51.200000000007,2,2
R3-E3,108,51.681000000007,3,3
R3-E3,109,52.162000000007,4,4
R3-E3,110,52.6430000000069,1,1
R3-E3,111,53.1240000000001,2,2
R3-E3,112,53.6050000000001,3,3
R3-E3,113,54.086000000007,4,4
R3-E3,114,54.567000000007,1,1
R3-E3,115,55.048000000007,2,2
R3-E3,116,55.529000000007,3,3
R3-E3,117,56.0100000000069,4,4
R3-E3,118,56.4910000000001,1,1
R3-E3,119,56.9720000000001,2,2
R3-E3,120,57.453000000007,3,3
R3-E3,121,57.934000000007,4,4
R3-E3,122,58.415000000007,1,1
R3-E3,123,58.8960000000069,2,2
R3-E3,124,59.3770000000069,3,3
R3-E3,125,59.8580000000001,4,4
R3-E3,126,60.3390000000001,1,1
R3-E3,127,60.820000000007,2,2
R3-E3,128,61.301000000007,3,3
R3-E3,129,61.782000000007,4,4
R3-E3,130,62.2630000000069,1,1
R3-E3,131,62.7440000000069,2,2
R3-E3,132,63.2250000000001,3,3
R3-E3,133,63.7060000000001,4,4
R3-E3,134,64.187000000007,1,1
R3-E3,135,64.668000000007,2,2
R3-E3,136,65.149000000007,3,3
R3-E3,137,65.6300000000069,4,4
R3-E3,138,66.1110000000069,1,1
R3-E3,139,66.5920000000001,2,2
R3-E3,140,67.0730000000001,3,3
R3-E3,141,67.554000000007,4,4
R3-E3,142,68.035000000007,1,1
R3-E3,143,68.516000000007,2,2
R3-E3,144,68.9970000000069,3,3
R3-E3,145,69.4780000000001,4,4
R3-E3,146,69.9590000000001,1,1
R3-E3,147,70.440000000007,2,2
R3-E3,148,70.921000000007,3,3
R3-E3,149,71.402000000007,4,4
R3-E3,150,71.883000000007,1,1
R3-E3,151,72.3640000000069,2,2
R3-E3,152,72.8450000000001,3,3
R3-E3,153,73.3260000000001,4,4
R3-E3,154,73.807000000007,1,1
R3-E3,155,74.288000000007,2,2
R3-E3,156,74.769000000007,3,3
R3-E3,157,75.2500000000069,4,4
R3-E3,158,75.7310000000069,1,1
R3-E3,159,76.2120000000001,2,2
R3-E3,160,76.6930000000001,3,3
R3-E3,161,77.174000000007,4,4
R3-E3,162,77.655000000007,1,1
R3-E3,163,78.136000000007,2,2
R3-E3,164,78.617000000007,3,3
R3-E3,165,79.0980000000069,4,4
R3-E3,166,79.5790000000001,1,1
R3-E3,167,80.0600000000001,2,2
R3-E3,168,80.541000000007,3,3
R3-E3,169,81.022000000007,4,4
R3-E3,170,81.503000000007,1,1
R3-E3,171,81.9840000000069,2,2
R3-E3,172,82.4650000000001,3,3
R3-E3,173,82.9460000000001,4,4
R3-E3,174,83.427000000007,1,1
R3-E3,175,83.908000000007,2,2
R3-E3,176,84.389000000007,3,3
R3-E3,177,84.870000000007,4,4
R3-E3,178,85.3510000000069,1,1
R3-E3,179,85.8320000000001,2,2
R3-E3,180,86.3130000000001,3,3
R3-E3,181,86.794000000007,4,4
R3-E3,182,87.275000000007,1,1
R3-E3,183,87.756000000007,2,2
R3-E3,184,88.237000000007,3,3
R3-E3,185,88.7180000000069,4,4
R3-E3,186,89.1990000000001,1,1
R3-E3,187,89.6800000000001,2,2
