"variant","event_index","time_us","REQ_phase","REQ_accept_phase","phase_idx","REQ_reject_reason","model_phase_order_error_sample","active_HS_phase"
"A5-T4","2","3.28200000000348","4","4","3","0","0","0"
"A5-T4","3","3.76400000000007","1","1","0","0","0","0"
"A5-T4","4","4.24600000000007","2","2","1","0","0","0"
"A5-T4","5","4.72800000000007","3","3","2","0","0","0"
"A5-T4","6","5.21000000000007","4","4","3","0","0","0"
"A5-T4","7","5.69200000000007","1","1","0","0","0","0"
"A5-T4","8","6.17400000000007","2","2","1","0","0","0"
"A5-T4","9","6.65600000000007","3","3","2","0","0","0"
"A5-T4","10","7.13800000000007","4","4","3","0","0","0"
"A5-T4","11","7.62000000000007","1","1","0","0","0","0"
"A5-T4","12","8.24000000000002","2","2","1","0","1","0"
"A5-T4","13","9.16000000000003","3","3","2","0","0","0"
"A5-T4","14","9.80000000000002","4","4","3","0","0","0"
"A5-T4","15","10.2820000000035","1","1","0","0","0","0"
"A5-T4","16","10.92","2","2","1","0","1","0"
"A5-T4","17","11.44","3","3","2","0","0","0"
"A5-T4","18","12.3600000000001","4","4","3","0","0","0"
"A5-T4","19","12.8420000000001","1","1","0","0","0","0"
"A5-T4","20","13.3240000000001","2","2","1","0","0","0"
"A5-T4","21","13.8060000000001","3","3","2","0","0","0"
"A5-T4","22","14.68","4","4","3","0","1","0"
"A5-T4","23","15.162","1","1","0","0","0","0"
"A5-T4","24","15.644","2","2","1","0","0","0"
"A5-T4","25","16.126","3","3","2","0","0","0"
"A5-T4","26","17.0400000000001","4","4","3","0","1","0"
"A5-T4","27","17.5220000000001","1","1","0","0","0","0"
"A5-T4","28","18.0040000000001","2","2","1","0","0","0"
"A5-T4","29","18.5200000000001","3","3","2","0","1","0"
"A5-T4","30","19.4","4","4","3","0","0","0"
"A5-T4","31","19.882","1","1","0","0","0","0"
"A5-T4","32","20.364","2","2","1","0","0","0"
"A5-T4","33","20.9200000000001","3","3","2","0","1","0"
