target_load_A,target_label,objective,ref_slew_us,interp_score,interp_undershoot_mV,interp_settle_time_us,interp_phase_spacing_std_ns,interp_skip_count_est
20.0,20A,score_settle010,76.0,4.032523841460664,1.100652479350072,13.5404,37.0945625397949,0.19999999999999996
20.0,20A,base,77.0,2.577040689021703,1.0990793099256542,13.7578,37.10592743723255,0.15000000000000002
20.0,20A,score_settle005,77.0,3.264930689021703,1.0990793099256542,13.7578,37.10592743723255,0.15000000000000002
20.0,20A,score_settle010,77.0,3.9528206890217032,1.0990793099256542,13.7578,37.10592743723255,0.15000000000000002
20.0,20A,base,78.0,2.475597536582742,1.097506140501236,13.975200000000001,37.1172923346702,0.09999999999999998
20.0,20A,score_settle005,78.0,3.174357536582742,1.097506140501236,13.975200000000001,37.1172923346702,0.09999999999999998
20.0,20A,score_settle010,78.0,3.873117536582742,1.097506140501236,13.975200000000001,37.1172923346702,0.09999999999999998
20.0,20A,base,79.0,2.374154384143781,1.0959329710768182,14.192599999999999,37.12865723210785,0.050000000000000044
20.0,20A,score_settle005,79.0,3.083784384143781,1.0959329710768182,14.192599999999999,37.12865723210785,0.050000000000000044
20.0,20A,score_settle010,79.0,3.793414384143781,1.0959329710768182,14.192599999999999,37.12865723210785,0.050000000000000044
20.0,20A,base,80.0,2.27271123170482,1.0943598016524,14.41,37.1400221295455,0.0
20.0,20A,score_settle005,80.0,2.99321123170482,1.0943598016524,14.41,37.1400221295455,0.0
20.0,20A,score_settle010,80.0,3.71371123170482,1.0943598016524,14.41,37.1400221295455,0.0
20.0,20A,base,81.0,2.288927457105705,1.0934866880308647,14.517299999999999,37.94420908890366,0.0
20.0,20A,score_settle005,81.0,3.0147924571057043,1.0934866880308647,14.517299999999999,37.94420908890366,0.0
20.0,20A,score_settle010,81.0,3.740657457105705,1.0934866880308647,14.517299999999999,37.94420908890366,0.0
20.0,20A,base,82.0,2.30514368250659,1.092613574409329,14.624600000000001,38.74839604826183,0.0
20.0,20A,score_settle005,82.0,3.03637368250659,1.092613574409329,14.624600000000001,38.74839604826183,0.0
20.0,20A,score_settle010,82.0,3.76760368250659,1.092613574409329,14.624600000000001,38.74839604826183,0.0
20.0,20A,base,83.0,2.321359907907475,1.0917404607877936,14.7319,39.552583007619994,0.0
20.0,20A,score_settle005,83.0,3.0579549079074746,1.0917404607877936,14.7319,39.552583007619994,0.0
20.0,20A,score_settle010,83.0,3.7945499079074754,1.0917404607877936,14.7319,39.552583007619994,0.0
20.0,20A,base,84.0,2.3375761333083602,1.0908673471662582,14.839200000000002,40.35676996697816,0.0
20.0,20A,score_settle005,84.0,3.07953613330836,1.0908673471662582,14.839200000000002,40.35676996697816,0.0
20.0,20A,score_settle010,84.0,3.8214961333083606,1.0908673471662582,14.839200000000002,40.35676996697816,0.0
20.0,20A,base,85.0,2.353792358709245,1.0899942335447226,14.9465,41.160956926336326,0.0
20.0,20A,score_settle005,85.0,3.101117358709245,1.0899942335447226,14.9465,41.160956926336326,0.0
20.0,20A,score_settle010,85.0,3.848442358709245,1.0899942335447226,14.9465,41.160956926336326,0.0
20.0,20A,base,86.0,2.37000858411013,1.089121119923187,15.053799999999999,41.96514388569449,0.0
20.0,20A,score_settle005,86.0,3.12269858411013,1.089121119923187,15.053799999999999,41.96514388569449,0.0
20.0,20A,score_settle010,86.0,3.87538858411013,1.089121119923187,15.053799999999999,41.96514388569449,0.0
20.0,20A,base,87.0,2.386224809511015,1.0882480063016515,15.161100000000001,42.76933084505265,0.0
20.0,20A,score_settle005,87.0,3.1442798095110147,1.0882480063016515,15.161100000000001,42.76933084505265,0.0
20.0,20A,score_settle010,87.0,3.9023348095110153,1.0882480063016515,15.161100000000001,42.76933084505265,0.0
20.0,20A,base,88.0,2.4024410349119,1.0873748926801161,15.2684,43.57351780441083,0.0
20.0,20A,score_settle005,88.0,3.1658610349119,1.0873748926801161,15.2684,43.57351780441083,0.0
20.0,20A,score_settle010,88.0,3.9292810349119005,1.0873748926801161,15.2684,43.57351780441083,0.0
20.0,20A,base,89.0,2.418657260312785,1.0865017790585805,15.375700000000002,44.37770476376899,0.0
20.0,20A,score_settle005,89.0,3.187442260312785,1.0865017790585805,15.375700000000002,44.37770476376899,0.0
20.0,20A,score_settle010,89.0,3.9562272603127853,1.0865017790585805,15.375700000000002,44.37770476376899,0.0
20.0,20A,base,90.0,2.43487348571367,1.085628665437045,15.483,45.18189172312715,0.0
20.0,20A,score_settle005,90.0,3.20902348571367,1.085628665437045,15.483,45.18189172312715,0.0
20.0,20A,score_settle010,90.0,3.98317348571367,1.085628665437045,15.483,45.18189172312715,0.0
20.0,20A,base,91.0,2.4510897111145553,1.0847555518155096,15.590300000000003,45.986078682485314,0.0
20.0,20A,score_settle005,91.0,3.2306047111145553,1.0847555518155096,15.590300000000003,45.986078682485314,0.0
20.0,20A,score_settle010,91.0,4.010119711114555,1.0847555518155096,15.590300000000003,45.986078682485314,0.0
20.0,20A,base,92.0,2.46730593651544,1.083882438193974,15.697600000000001,46.79026564184348,0.0
20.0,20A,score_settle005,92.0,3.2521859365154397,1.083882438193974,15.697600000000001,46.79026564184348,0.0
20.0,20A,score_settle010,92.0,4.03706593651544,1.083882438193974,15.697600000000001,46.79026564184348,0.0
20.0,20A,base,93.0,2.483522161916325,1.0830093245724386,15.804900000000002,47.594452601201645,0.0
20.0,20A,score_settle005,93.0,3.273767161916325,1.0830093245724386,15.804900000000002,47.594452601201645,0.0
20.0,20A,score_settle010,93.0,4.064012161916326,1.0830093245724386,15.804900000000002,47.594452601201645,0.0
20.0,20A,base,94.0,2.49973838731721,1.0821362109509032,15.9122,48.398639560559815,0.0
20.0,20A,score_settle005,94.0,3.29534838731721,1.0821362109509032,15.9122,48.398639560559815,0.0
20.0,20A,score_settle010,94.0,4.09095838731721,1.0821362109509032,15.9122,48.398639560559815,0.0
20.0,20A,base,95.0,2.515954612718095,1.0812630973293675,16.0195,49.20282651991798,0.0
20.0,20A,score_settle005,95.0,3.316929612718095,1.0812630973293675,16.0195,49.20282651991798,0.0
20.0,20A,score_settle010,95.0,4.117904612718095,1.0812630973293675,16.0195,49.20282651991798,0.0
20.0,20A,base,96.0,2.5321708381189802,1.0803899837078321,16.1268,50.00701347927615,0.0
