case,rho,detection_delay_ns,sigma_area,v_min_after_mV,v_max_after_mV,v_pp_high_mV,v_mean_pre_V,v_mean_high_V,v_mean_post_V,period_mean_us,period_std_ns,pre_period_mean_us,pre_period_std_ns,high_period_mean_us,high_period_std_ns,post_period_mean_us,post_period_std_ns,duty_mean,duty_std,event_count,kp_vc,objective,unconstrained_objective,feasible
rho+0.02_kp0.08_sig0e+00,0.02,0.0,0.0,-28.825008630265604,17.153200695908755,16.578624251927575,1.0000912619271374,0.9802254681130576,1.0142590456471547,2.035546052631579,30.91612992729589,2.033310344827586,0.9506240518687482,2.0559090909090916,6.141580274202159,2.0084927536231887,3.109700523378745,0.08356567561896375,0.0011215863353956149,392,0.08,44.80238449748365,35.68628890862911,False
rho+0.02_kp0.08_sig8e-12,0.02,0.0,8e-12,-28.8478373249772,17.154447140369513,16.589328832404604,1.0000690708382407,0.9802251552305611,1.0142667250589352,2.0355460526315787,30.979904100924458,2.0332413793103448,2.0620574327949472,2.0559090909090902,6.33826109583755,2.0084057971014495,3.465435290968005,0.08356554985526563,0.0011247301694429232,392,0.08,45.27752421057687,35.70961618112501,False
rho+0.02_kp0.12_sig0e+00,0.02,0.0,0.0,-20.484897123461575,9.466051781983342,9.531652010522196,1.000082134142462,0.9849109956733749,1.0078888457567072,2.035230263157895,31.019936372635392,2.033310344827586,0.9506240518726811,2.0476590909090917,3.2644307718879118,2.019043478260871,1.4688532706460329,0.08358160782471873,0.0011276334302669881,392,0.12,29.354979049544465,24.271317836254912,True
rho+0.02_kp0.12_sig8e-12,0.02,0.0,8e-12,-20.496109176845636,9.477324633049955,9.551456534272251,1.0000681273785015,0.9849138524974397,1.0078910166837998,2.0352236842105267,31.075501725302974,2.0332413793103448,1.9940458337669185,2.0476136363636366,3.6786602618753976,2.019014492753624,2.1967878633680264,0.08358168242296564,0.0011303352367213683,392,0.12,29.93564632723592,24.287039030065618,True
rho+0.02_kp0.16_sig0e+00,0.02,0.0,0.0,-15.966729001892222,6.101884981483785,6.372713035177613,1.0000638695114847,0.98781519424063,1.0049992544485087,2.0344144736842105,34.20679066142527,2.033379310344828,0.9252695079302594,2.042224719101124,2.1080520268852068,2.024142857142857,1.0860901605049786,0.08361794756609961,0.0012537515987089435,392,0.16,21.780460557441074,18.407482994485736,True
rho+0.02_kp0.16_sig8e-12,0.02,0.0,8e-12,-15.966127535438467,6.077407692872683,6.38441718010796,1.00005840535211,0.9878130068829433,1.0050061333319844,2.0344078947368422,34.34870626215201,2.0332413793103448,2.3142016187047174,2.042224719101123,2.8194860037976333,2.024114285714287,2.187907396473127,0.08361812439038714,0.001259631544048332,392,0.16,22.606265008339342,18.39709061258754,False
rho+0.02_kp0.24_sig0e+00,0.02,0.0,0.0,-11.483876223327139,3.5437900623580543,3.7580753380092036,1.0000352490546378,0.9911965407926074,1.0025209270651163,2.0328852459016398,42.019081676537404,2.033379310344828,0.9252695079302594,2.0357727272727266,1.3291083197444717,2.028666666666667,0.9428090415802419,0.0836920426474878,0.001573780249254774,393,0.24,15.039575111203538,12.90139224827036,True
rho+0.02_kp0.24_sig8e-12,0.02,0.0,8e-12,-11.501894204591023,3.5485660261658225,3.7702416698975894,1.0000310570413398,0.9911959290227736,1.0025261390531395,2.0328852459016398,42.091429897795244,2.033379310344828,2.4128076806229175,2.035818181818182,2.347849376387937,2.028666666666667,2.0618457094271267,0.0836919719407821,0.001577965674823033,393,0.24,16.118442352926735,12.921320615057352,False
rho+0.02_kp0.32_sig0e+00,0.02,0.0,0.0,-9.36852005334421,2.7599786614112,2.752455184036995,1.000015077090335,0.9931065533472041,1.0015130054892374,2.031777049180328,49.538223008436916,2.033448275862069,0.8938952687481603,2.032090909090909,0.9958591954646037,2.0305797101449263,0.9073899039167547,0.08375759535382445,0.0019386714109034821,393,0.32,12.166189214235258,10.47251151790869,True
rho+0.02_kp0.32_sig8e-12,0.02,0.0,8e-12,-9.3784312007007,2.7704711306106855,2.765339673313272,1.000012701028008,0.9931046869449107,1.0015152234100526,2.031783606557377,49.614835104054485,2.033448275862069,2.221931543946342,2.032136363636364,2.3892839274474245,2.0305797101449263,2.1292020489525423,0.08375709186458828,0.0019418948465257143,393,0.32,13.417910811780535,10.486619652944974,False
rho+0.04_kp0.04_sig0e+00,0.04,0.0,0.0,-49.07610674336493,40.47565414933918,38.503936307074824,0.9994000871728931,0.9715914156761829,1.0326257284549973,2.033052631578948,45.452084294991586,2.034689655172414,0.9506240518701045,2.0697471264367815,17.075369362596266,1.981464788732394,11.800967954947222,0.0836416055997075,0.0016514890745017612,392,0.04,87.93947348102115,65.2663684031006,False
rho+0.04_kp0.04_sig8e-12,0.04,0.0,8e-12,-49.0604043590942,40.51795411332382,38.48218886778365,0.9993675693589614,0.9715933398877336,1.0326355941750716,2.033059210526316,45.47754413366369,2.034689655172414,1.8402295260862225,2.0697241379310345,17.151582250106383,1.9814366197183104,11.892395954196722,0.08364145222600657,0.0016529654951387683,392,0.04,88.26599044631057,65.26758600442372,False
rho+0.04_kp0.08_sig0e+00,0.04,0.0,0.0,-29.240933096818857,16.972198920045088,16.828388291573738,0.9995770117086259,0.9799532515380796,1.0140960949604003,2.0360526315789476,30.992738851154293,2.0343448275862075,0.7554793896633574,2.0565287356321837,6.158517287706694,2.008782608695652,3.0496831159556916,0.08353908582954009,0.0011242556615114483,392,0.08,45.04322653037344,36.029812664836896,False
rho+0.04_kp0.08_sig8e-12,0.04,0.0,8e-12,-29.247182486898172,16.99810650147482,16.817508195879572,0.9995517950800923,0.9799530060376802,1.014110209075249,2.036046052631579,31.06716806834326,2.034275862068966,1.8735279596159593,2.0565057471264363,6.36960014843837,2.008695652173913,3.4695543205718082,0.0835391824879281,0.0011278566822855486,392,0.08,45.529675514878356,36.0464250874881,False
rho+0.04_kp0.12_sig0e+00,0.04,0.0,0.0,-20.851341541685777,9.277942921808613,9.678303237632079,0.9996618129912918,0.9846391106338213,1.0077120029480455,2.035723684210526,30.979661700188878,2.0341379310344827,0.5067909812632894,2.048159090909091,3.29216136394964,2.019391304347825,1.4164396200391305,0.08355870831332983,0.0011274844371390606,392,0.12,29.473235699700574,24.562518710409222,True
rho+0.04_kp0.12_sig8e-12,0.04,0.0,8e-12,-20.8610990048258,9.277173764016489,9.680090722507973,0.9996533784375194,0.9846361445375799,1.0077212139887828,2.0357236842105264,31.105972807828024,2.0340689655172413,2.196094252152316,2.0481590909090914,3.6954713183133676,2.0193333333333348,2.0897726571116424,0.08355864833828347,0.001133125558981008,392,0.12,30.231231706271057,24.571968510432395,True
