case,severity,tau_ai_us,delay_events,update_us,update_events,policy,seed,reward,max_abs_v_mV,max_abs_phase_ns,max_abs_i_mA,violations,skip_events,projected_count,control_energy,tail_state_cost_mean,tail_abs_phase_ns_mean,tail_abs_i_mA_mean,settle_us,final_abs_v_mV,final_abs_phase_ns,final_abs_i_mA
40A_to_20A,0.5,0.0,0,2.0,4,no_ai,10,-20.94892513267002,3.809202896015393,46.3748767987778,282.636815993868,0,0,0,0.0,0.07719576675127801,5.742117868652824,12.898879243843755,32.5,0.07049309357311084,0.5135113839702986,4.713730032006874
40A_to_20A,0.5,0.0,0,2.0,4,no_ai,11,-38.074659156094185,5.065973657035087,56.79873770154981,352.8652377505076,0,0,0,0.0,0.14289711131458163,7.434769872938868,15.581867635734284,45.5,0.21629965406260646,0.5422946451173971,5.059750606063728
40A_to_20A,0.5,0.0,0,2.0,4,no_ai,12,-34.93067155045677,4.953732344987246,55.2920451797351,335.9555947450969,0,0,0,0.0,0.13089492475456962,7.150867980809456,14.1715111388924,41.0,0.011137300854211555,0.26205110545023164,1.6227558736470251
40A_to_20A,0.5,0.0,0,2.0,4,no_ai,13,-36.181295148340226,5.643441129210158,36.74408162024921,343.5322391358096,0,0,0,0.0,0.13751438383448025,5.598831921269811,15.924125638900763,43.0,0.04828643397219549,0.12127529751802144,3.459465002134838
40A_to_20A,0.5,0.0,0,2.0,4,no_ai,14,-26.35299633100286,4.497104384924082,45.10262915820634,254.92783834683027,0,0,0,0.0,0.09941126207855759,5.935878981785189,12.302835875600678,38.5,0.006642744183733118,0.20695899908485194,1.3868370434960613
40A_to_20A,0.5,0.0,0,2.0,4,no_ai,15,-25.951193962333992,4.105779442412409,45.759831844952885,323.7878424880133,0,0,0,0.0,0.09712591296485626,6.415969203130944,15.059289253674326,40.0,0.1990404437657408,0.6535701755224186,5.951146784032543
40A_to_20A,0.5,0.0,0,2.0,4,no_ai,16,-32.92148326944797,4.789406262561222,53.38999005137932,346.3773943128315,0,0,0,0.0,0.12306953999107544,7.420034194934274,16.568650768291185,40.5,0.061040501411487175,0.5845978536705589,0.12915411925996856
40A_to_20A,0.5,0.0,0,2.0,4,no_ai,17,-32.15643825477885,5.032792516850337,51.69215638323089,291.10099696612735,0,0,0,0.0,0.12064045615146614,6.4537224541386955,12.596041616935889,40.0,0.023904522421772424,0.18351688365833746,4.0259443833668
40A_to_20A,0.5,0.0,0,2.0,4,no_ai,18,-28.141832829760588,4.575527464128745,45.057638100280066,333.5845280274793,0,0,0,0.0,0.10506354992027057,6.363683256721269,14.924852798318232,37.5,0.10869548716360235,0.24179273345250707,0.2830488350089693
40A_to_20A,0.5,0.0,0,2.0,4,no_ai,19,-31.477219033135103,4.620203392477802,54.97039346016106,324.5550118226212,0,0,0,0.0,0.11725426769037355,7.202068111052924,13.433033072932417,39.5,0.07249962600126371,0.047855810161015616,1.8802293787647537
40A_to_20A,0.5,0.0,0,2.0,4,no_ai,20,-33.88960440332893,4.830516583869268,56.048470341610724,358.8903841866333,0,0,0,0.0,0.1256436150753106,7.262108853784674,15.909063939104017,39.0,0.07202118002954568,0.4349263644558484,2.173382648594319
40A_to_20A,0.5,0.0,0,2.0,4,no_ai,21,-28.24288669801834,4.620985461425255,57.553386540717284,247.47840669410863,0,0,0,0.0,0.10512556624534866,6.616908331726266,11.604642974996297,36.0,0.2039694978589168,0.9135995535322317,2.013993064409572
