seed,area_bits,detect_clock_ns,ton_resolution_ps,comp_delay_sigma_ns,events,burn,q_lambda,q_lambda_over_nominal,wait_jitter_rms_ns,wait_jitter_pkpk_ns,phase_spacing_std_ns,phase_spacing_pkpk_ns,avg_phase_current_A,current_share_rms_mA,current_share_pkpk_mA,current_snapshot_rms_mA,current_m2_projection_mA,vout_event_rms_mV,vout_event_pkpk_mV
9,10,0.5,10,0.0,720,120,1.2390513629646364e-12,0.001953125,0.24088419584256024,1.291854618890376,0.241097547586929,1.2975658287719225,9.99970722 10.0003854 9.99977685 9.99970717,0.2850368481895783,0.678224550313189,2833.4868012265733,-0.1521230978047683,0.00805381441669972,0.031030301160805962
10,10,0.5,10,0.0,720,120,1.2390513629646364e-12,0.001953125,0.23709192478638894,1.389486299185407,0.23720360066565915,1.3855841330751326,10.0000839 10.0003912 9.99944302 9.99978421,0.351681419622803,0.9481812392984068,2833.4864532523725,-0.16212180838204304,0.006942372214789442,0.027091256449063295
11,10,0.5,10,0.0,720,120,1.2390513629646364e-12,0.001953125,0.2391480940798421,1.2590923217703345,0.23910765235225281,1.2580182351297382,9.99944154 9.99987604 10.0004452 10.0004741,0.42900957196564266,1.0325446548389294,2833.484582017065,-0.11584064819825102,0.008855460692796868,0.0315891074087471
12,10,0.5,10,0.0,720,120,1.2390513629646364e-12,0.001953125,0.24017753502680061,1.3230224614561563,0.24031021305154976,1.3327759858350523,9.99987423 9.99985179 10.000647 9.99990843,0.3335253503368054,0.7951962653365285,2833.4845113680462,0.19024874769346667,0.006414223189178044,0.02734511981383747
13,10,0.5,10,0.0,720,120,1.2390513629646364e-12,0.001953125,0.2321011464220686,1.1801366358603593,0.231972414493588,1.1788385915615451,9.99982074 10.0008546 9.99912986 10.0000147,0.6147460505853201,1.724695367309792,2833.4877200371734,-0.47967416898631043,0.006574468951948155,0.026590444314855688
14,10,0.5,10,0.0,720,120,1.2390513629646364e-12,0.001953125,0.25691127137743425,1.5524471817044951,0.25693618712128496,1.552216190444349,9.99974104 9.99968553 10.0010977 9.99951669,0.6332785451712079,1.581054550293004,2833.480198405791,0.40913988152402325,0.005366505939746996,0.025127073684849677
15,10,0.5,10,0.0,720,120,1.2390513629646364e-12,0.001953125,0.24309358951805732,1.4040586310911642,0.24311570391999657,1.4014383325004816,10.0001796 10.0001239 9.99972591 10.0003769,0.23638080698740052,0.6509606317646188,2833.4880845872235,-0.1488207172366529,0.0048421178855865814,0.01910173086794309
0,10,0.5,10,0.5,720,120,1.2390513629646364e-12,0.001953125,0.609158484452476,3.7268099772183243,0.6091527837394475,3.723018109178337,9.99999633 10.0005087 9.99986245 10.0002628,0.2487110408861323,0.6462099197186433,2833.485536595412,-0.22816648997814326,0.015944260310097953,0.07175720827201637
1,10,0.5,10,0.5,720,120,1.2390513629646364e-12,0.001953125,0.5946193596008069,3.563290853596324,0.5946958933273686,3.5689132208450465,10.0003948 10.0001843 10.0000549 10.0004027,0.14691076637997194,0.3477748496312216,2833.4864092398147,-0.03430291509687322,0.01438475970258732,0.059552331093337685
2,10,0.5,10,0.5,720,120,1.2390513629646364e-12,0.001953125,0.5900659822730554,4.128508019788448,0.5901471812230212,4.1348323425928815,10.0009762 10.0001905 10.0004995 10.0002567,0.30834746951064346,0.7857361946630448,2833.4865444909087,0.25714294283840644,0.024160166719541593,0.0876453174097902
3,10,0.5,10,0.5,720,120,1.2390513629646364e-12,0.001953125,0.6086402437753535,4.094580849659725,0.6087446442968286,4.095507011246477,10.0005796 9.99946341 9.99987727 9.99938368,0.47373240873564404,1.19593747248814,2833.485931831094,0.4024503269368651,0.008987194615083778,0.03764905892633674
4,10,0.5,10,0.5,720,120,1.2390513629646364e-12,0.001953125,0.6064192511799373,3.430293896238867,0.6064113897391176,3.4263479377447843,9.99982765 10.0005862 9.9997413 9.99945541,0.4179979253935842,1.1307641616955522,2833.4866666398625,-0.118159867712464,0.0145604457130668,0.05686381839975496
5,10,0.5,10,0.5,720,120,1.2390513629646364e-12,0.001953125,0.5917891097799752,3.69884739350108,0.5915842453311658,3.698104559292008,9.99941838 9.99970409 10.0008685 10.0002958,0.5583817768952393,1.450169355203812,2833.4838013469575,0.07175432718575792,0.010225507076338743,0.04309866513330096
6,10,0.5,10,0.5,720,120,1.2390513629646364e-12,0.001953125,0.6389153214337938,3.795417675479307,0.6388246638110968,3.7889193928979323,9.99956688 10.0004755 9.99914382 10.0006525,0.6257128985689386,1.5086991003556705,2833.4842781179327,-0.6043425116426526,0.013038643422187982,0.0594203287912487
