variant,event_index,time_after_step_us,REQ_accept_phase,expected_phase,phase_order_error_event,phase_idx_sample,REQ_reject_reason_sample,phase_order_error_sample
R1-U2,167,74.2160000000069,1,1,0,0,0,0
R1-U2,168,74.6980000000069,2,2,0,1,0,0
R1-U2,169,75.1800000000069,3,3,0,2,0,0
R1-U2,170,75.6620000000069,4,4,0,3,0,0
R1-U2,171,76.1440000000069,1,1,0,0,0,0
R1-U2,172,76.6260000000069,2,2,0,1,0,0
R1-U2,173,77.1080000000069,3,3,0,2,0,0
R1-U2,174,77.5900000000069,4,4,0,3,0,0
R1-U2,175,78.0720000000069,1,1,0,0,0,0
R1-U2,176,78.5540000000069,2,2,0,1,0,0
R1-U2,177,79.0360000000069,3,3,0,2,0,0
R1-U2,178,79.5180000000069,4,4,0,3,0,0
R1-U2,179,80.0000000000069,1,1,0,0,0,0
R1-U2,180,80.4820000000069,2,2,0,1,0,0
R1-U2,181,80.9640000000069,3,3,0,2,0,0
R1-U2,182,81.4460000000069,4,4,0,3,0,0
R1-U2,183,81.9280000000069,1,1,0,0,0,0
R1-U2,184,82.4100000000069,2,2,0,1,0,0
R1-U2,185,82.8920000000069,3,3,0,2,0,0
R1-U2,186,83.3740000000069,4,4,0,3,0,0
R1-U2,187,83.8560000000001,1,1,0,0,0,0
R1-U2,188,84.3380000000001,2,2,0,1,0,0
R1-U2,189,84.8200000000001,3,3,0,2,0,0
R1-U2,190,85.3020000000001,4,4,0,3,0,0
R1-U2,191,85.7840000000001,1,1,0,0,0,0
R1-U2,192,86.2660000000001,2,2,0,1,0,0
R1-U2,193,86.7480000000001,3,3,0,2,0,0
R1-U2,194,87.2300000000001,4,4,0,3,0,0
R1-U2,195,87.7120000000001,1,1,0,0,0,0
R1-U2,196,88.1940000000001,2,2,0,1,0,0
R1-U2,197,88.6760000000001,3,3,0,2,0,0
R1-U2,198,89.1580000000001,4,4,0,3,0,0
R1-U2,199,89.6400000000001,1,1,0,0,0,0
R1-U3,1,5.42101086242752e-14,3,NaN,0,2,0,0
R1-U3,2,0.160000000000026,4,4,0,3,0,0
R1-U3,3,0.320000000000051,1,1,0,0,0,0
R1-U3,4,0.480000000000023,2,2,0,1,0,0
R1-U3,5,0.640000000000048,3,3,0,2,0,0
R1-U3,6,0.800000000000019,4,4,0,3,0,0
R1-U3,7,0.960000000000045,1,1,0,0,0,0
R1-U3,8,1.12000000000002,2,2,0,1,0,0
R1-U3,9,1.28000000000004,3,3,0,2,0,0
R1-U3,10,1.44000000000007,4,4,0,3,0,0
R1-U3,11,1.92200000000007,1,1,0,0,0,0
R1-U3,12,2.40400000000007,2,2,0,1,0,0
R1-U3,13,2.88600000000007,3,3,0,2,0,0
R1-U3,14,3.36800000000007,4,4,0,3,0,0
R1-U3,15,3.85000000000007,1,1,0,0,0,0
R1-U3,16,4.33200000000007,2,2,0,1,0,0
R1-U3,17,4.81400000000007,3,3,0,2,0,0
R1-U3,18,5.29600000000007,4,4,0,3,0,0
R1-U3,19,5.77800000000007,1,1,0,0,0,0
R1-U3,20,6.26000000000007,2,2,0,1,0,0
R1-U3,21,6.74200000000006,3,3,0,2,0,0
R1-U3,22,7.22400000000007,4,4,0,3,0,0
R1-U3,23,7.70600000000006,1,1,0,0,0,0
R1-U3,24,8.18800000000006,2,2,0,1,0,0
R1-U3,25,8.67000000000006,3,3,0,2,0,0
R1-U3,26,9.15200000000006,4,4,0,3,0,0
R1-U3,27,9.63400000000006,1,1,0,0,0,0
R1-U3,28,10.1160000000001,2,2,0,1,0,0
R1-U3,29,10.5980000000001,3,3,0,2,0,0
R1-U3,30,11.0800000000001,4,4,0,3,0,0
R1-U3,31,11.5620000000001,1,1,0,0,0,0
R1-U3,32,12.0440000000001,2,2,0,1,0,0
R1-U3,33,12.5260000000001,3,3,0,2,0,0
R1-U3,34,13.0080000000001,4,4,0,3,0,0
R1-U3,35,13.4900000000001,1,1,0,0,0,0
R1-U3,36,13.9720000000001,2,2,0,1,0,0
R1-U3,37,14.4540000000001,3,3,0,2,0,0
R1-U3,38,14.9360000000001,4,4,0,3,0,0
R1-U3,39,15.4180000000001,1,1,0,0,0,0
R1-U3,40,15.9000000000001,2,2,0,1,0,0
R1-U3,41,16.3820000000001,3,3,0,2,0,0
R1-U3,42,16.8640000000001,4,4,0,3,0,0
R1-U3,43,17.3460000000001,1,1,0,0,0,0
R1-U3,44,17.8280000000001,2,2,0,1,0,0
R1-U3,45,18.3100000000001,3,3,0,2,0,0
R1-U3,46,18.7920000000001,4,4,0,3,0,0
R1-U3,47,19.2740000000001,1,1,0,0,0,0
R1-U3,48,19.7560000000001,2,2,0,1,0,0
R1-U3,49,20.2380000000001,3,3,0,2,0,0
R1-U3,50,20.7200000000001,4,4,0,3,0,0
R1-U3,51,21.2020000000001,1,1,0,0,0,0
R1-U3,52,21.6840000000001,2,2,0,1,0,0
R1-U3,53,22.1660000000001,3,3,0,2,0,0
R1-U3,54,22.6480000000001,4,4,0,3,0,0
R1-U3,55,23.1300000000001,1,1,0,0,0,0
R1-U3,56,23.6120000000001,2,2,0,1,0,0
R1-U3,57,24.0940000000001,3,3,0,2,0,0
R1-U3,58,24.5760000000001,4,4,0,3,0,0
R1-U3,59,25.0580000000001,1,1,0,0,0,0
R1-U3,60,25.5400000000001,2,2,0,1,0,0
R1-U3,61,26.0220000000001,3,3,0,2,0,0
R1-U3,62,26.5040000000001,4,4,0,3,0,0
R1-U3,63,26.9860000000001,1,1,0,0,0,0
R1-U3,64,27.4680000000001,2,2,0,1,0,0
R1-U3,65,27.9500000000001,3,3,0,2,0,0
R1-U3,66,28.4320000000001,4,4,0,3,0,0
R1-U3,67,28.9140000000001,1,1,0,0,0,0
R1-U3,68,29.3960000000001,2,2,0,1,0,0
R1-U3,69,29.8780000000001,3,3,0,2,0,0
R1-U3,70,30.3600000000001,4,4,0,3,0,0
R1-U3,71,30.8420000000001,1,1,0,0,0,0
R1-U3,72,31.3240000000001,2,2,0,1,0,0
R1-U3,73,31.8060000000001,3,3,0,2,0,0
R1-U3,74,32.2880000000001,4,4,0,3,0,0
R1-U3,75,32.7700000000001,1,1,0,0,0,0
R1-U3,76,33.2520000000001,2,2,0,1,0,0
R1-U3,77,33.7340000000001,3,3,0,2,0,0
R1-U3,78,34.2160000000001,4,4,0,3,0,0
R1-U3,79,34.6980000000001,1,1,0,0,0,0
R1-U3,80,35.18,2,2,0,1,0,0
R1-U3,81,35.6620000000001,3,3,0,2,0,0
R1-U3,82,36.1440000000001,4,4,0,3,0,0
R1-U3,83,36.6260000000001,1,1,0,0,0,0
R1-U3,84,37.1080000000001,2,2,0,1,0,0
R1-U3,85,37.5900000000001,3,3,0,2,0,0
R1-U3,86,38.0720000000001,4,4,0,3,0,0
